Comment,Sentiment,sentiment_confidence,sentiment_source,needs_review
মূল গনতন্ত্র ফিরে পেয়েছে বাংলাদেশ।,Positive,0.3464153765939562,auto_second_pass_kept,False
"নবনির্বাচিত সকল সম্মানিত এমপি মহোদয়দের জানাই আন্তরিক অভিনন্দন ও শুভেচ্ছা। আশা করি, আপনারা দেশের মানুষের প্রত্যাশা ও আস্থার প্রতিফলন ঘটিয়ে সংসদে নতুন দৃষ্টান্ত স্থাপন করবেন। আপনাদের সৎ নেতৃত্ব, দূরদর্শিতা ও জনকল্যাণমূলক কার্যক্রমের মাধ্যমে দেশ এগিয়ে যাবে উন্নয়ন ও সমৃদ্ধির পথে—এই প্রত্যাশাই রইল।",Negative,0.3846125950278465,auto_second_pass_kept,False
দেড় বছর সরকার চালানোর পর এবার বিরোধীদলে যাচ্ছে জামায়াত -এনসিপি।,Negative,0.5870146877195251,model_autofill,False
অভিনন্দন ও শুভকামনা রইল সেই সাথে দেশ দূরনীতি মুক্তর প্রত্যাশা রইলো।,Negative,0.4563606496742163,model_autofill,False
আলহামদুলিল্লাহ l,Positive,0.6938070689355245,model_autofill,False
শুভকামনা রইল l,Sarcastic_negative,0.5136699816049957,model_autofill,False
বাংলাদেশের স্বরাষ্ট্রমন্ত্রী কিন্তু ভারত,Positive,0.3793833616304457,auto_second_pass_kept,False
সরকার গঠন করে,Positive,0.3972519180277349,model_autofill,False
তারেক রহমানের,Positive,0.4354365903174676,model_autofill,False
বিরোধী দলীয় নেতাদের বাসায় সৌজন্য সাক্ষাৎ দেশের জন্য ইতিবাচক হবে বলে মনে করি ইনশাআল্লাহ।,Positive,0.8839910590249664,model_autofill,False
আলহামদুলিল্লাহ,Positive,0.6938070689355245,model_autofill,False
ব্রেকিং,Sarcastic_negative,0.3810018476138929,auto_second_pass_kept,False
বিএনপি জুলাই এর সংবিধান সংস্কার পরিষদের শপথ নিচ্ছে না ।,Negative,0.8655839088978776,model_autofill,False
- সালাউদ্দিন আহমেদ,Neutral,0.6356798909905284,model_autofill,False
বাংলাদেশ আবার পথ হারালো হয়তো ।,Positive,0.5201353554144799,model_autofill,False
"ক্রাস খায়েননা,যে ভাবে থাকি আছে আমাদের লিডার।",Negative,0.6638007196637108,model_autofill,False
এই-যে আপনাকে বলছি শুনোন শপথ সুন্দর ভাবে করুন দে-শ যেনো ভালো চলে,Negative,0.4075779819257793,model_autofill,False
না হলে মন্ত্রী হিসেবে ব্যর্থ হবেন,Neutral,0.9065212452896606,model_autofill,False
দীর্ঘ প্রায় ২০ বছর পরে ক্ষমতায় যাচ্ছেন,Negative,0.4699561677749546,model_autofill,False
শুভকামনা রইল,Sarcastic_negative,0.5136699816049957,model_autofill,False
বাংলাদেশের জাতি চুটিয়া জাতি এই জাতির ভাগ্য পরিবর্তন হবে না,Negative,0.391925651000832,auto_second_pass_kept,False
এত টুপি গেল কোথায়?,Sarcastic_negative,0.5407220390914346,model_autofill,False
জুলাইয়ের সাথে বিম্পির গাদ্দারি,Sarcastic_negative,0.375071419854887,auto_second_pass_kept,False
জুলাই যোদ্ধা রা রেডি থাকো দেশে আরও একটা কঠিন থেকে কঠিন লড়াই হবে লড়াই,Neutral,0.8186020926505171,model_autofill,False
জুলাই এর হাতিয়ার গর্জে উঠোক আরেক বার,Sarcastic_negative,0.3849196280392124,auto_second_pass_kept,False
পল্টি নেওয়া শুরু তাইলে..,Sarcastic_negative,0.4467533810955582,model_autofill,False
এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি,Positive,0.30994590884822,auto_second_pass_kept,False
এইতো মাত্র লাইনে আসা শুরু করছে।,Negative,0.4277912571206947,model_autofill,False
সামনে আরো ইন্টারেস্টিং কিছু অপেক্ষা করতেছে আশা করা যায়,Sarcastic_negative,0.3312611937709107,auto_second_pass_kept,False
"কারো কথাই, সমালোচনায় কান দিয়োনা , নিজে নিজে এগিয়ে যাও ভারতের দিকে",Sarcastic_negative,0.3876221403434558,auto_second_pass_kept,False
পল্টি নেওয়া শুরু তাইলে.. সবাই মিলে মিশে থাকা উচিত,Negative,0.3465001278932271,auto_second_pass_kept,False
হাসু আপুর সংবিধানই থাকলে হাসু আপুই বৈধ প্রধানমন্ত্রী।,Sarcastic_negative,0.3477368880857945,auto_second_pass_kept,False
জুলাই আন্দোলনে কারনেই আজ BNP শপথ নিতে পেরেছে। নইলে “ঈদের পর আন্দোলন” বলে বলে বলে বলে ১৭ বছরের সাথে আর কত ১৭ বছর যেতো আল্লাহ জানেন ।,Positive,0.3392319682052657,auto_second_pass_kept,False
মন থেকে বিএনপিকে ধন্যবাদ জানাই এরকম যুগান্তকারী একটা সিদ্ধান্ত নেওয়ার জন্য,Negative,0.3576605865841564,auto_second_pass_kept,False
১৯৯৬ সালে বিএনপি কত দিন ক্ষমতায় ছিল,Negative,0.828174515697979,model_autofill,False
The Constitution of 1972 is the best in the entire world.,Neutral,0.4669798462326713,model_autofill,False
"সমস্যা নাই বেইমানদের তো চিনলো জনগণ, খুব শীঘ্রই কিছু একটা ঘটতে যাচ্ছে।",Sarcastic_negative,0.4436418161739298,model_autofill,False
"তাহলে তো হাসু আপার সংবিধানে তিনিই এখনো প্রধানমন্ত্রী, তাকে তার দায়িত্ব বুজিয়ে দেয়া হোক",Positive,0.4259176315766108,model_autofill,False
Think ache.polapainr kothai BNP cholbe naki,Sarcastic_negative,0.4395975808592544,model_autofill,False
সংস্কারের পক্ষে শপথ না নিলে মেয়াদ দিলাম সর্বোচ্চ ২বছর,Negative,0.316780963587919,auto_second_pass_kept,False
যুগের পরে যুগ ইতিহাসে লেখা আছে গাদ্দারী তো ওরাই করে যাদের অস্তিত্ব বিলিনের পথে যখন তারা স্বস্তি ফিরে পায়,Negative,0.5227227687536323,model_autofill,False
"বিএনপি আওয়ামী লীগ ভাই ভাই, মিলেমিশে ভাগ করে খাই, তাই খাওয়ার জন্য সংস্করণ শপথ নিবে না",Positive,0.3621916638672113,auto_second_pass_kept,False
ওরা চায় না সংস্কার হোক,Sarcastic_negative,0.320242860481563,auto_second_pass_kept,False
শনির দশার অপেক্ষায়,Negative,0.453167062024215,model_autofill,False
জুলাই এর সঙ্গে বেইমানি করলে এদেশে আবারো জুলাই নেমে আসবে ইনশাআল্লাহ...,Positive,0.5279679167558625,model_autofill,False
