Comment,Sentiment,sentiment_confidence,sentiment_source,needs_review
লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,Positive,0.3152671812220947,manual,False
ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,Sarcastic_negative,0.4129735639279795,manual,False
"ছেলেটা দারুণ সাহসী। এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে,, বাহ -- লেগে থাক ভাই..
",Sarcastic_negative,0.3171628964234322,manual,False
জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,Positive,0.5984479894842938,manual,False
এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও! পাবনার দিকে,Sarcastic_negative,0.5723739336490498,manual,False
সাহসী নেতার সাহসী বাণী!,Positive,0.3260782175285262,manual,False
"""১২ তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে। আর ও কোথায় থাকবে, তা জানা নেই।",Negative,0.3820380762826344,manual,False
"তারুণ্যের প্রথম ভোটটি হোক অন্যায়, দুর্নীতি, চাদাবাজি, ঋণ খেলাপির বিরুদ্ধে। ন্যায় সততা ও ইনসাফ এর পক্ষে, শিক্ষিত মার্জিত! একজন ভালো ব্যক্তির পক্ষে!",Positive,0.6466374867898778,manual,False
,Neutral,1.0,manual_second_pass,False
নেতা এমনই হওয়া দরকার,Positive,0.4684038585276586,manual,False
বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,Negative,0.5046398893419402,manual,False
চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন।,Positive,0.6537141862415697,manual,False
প্রতিহিংসার রাজনীতি না করি কিভাবে দেশে ভালো কিছু করা যায় সেভাবে কাজ করি,Positive,0.621699412555699,manual,False
"নৌকা গেছে যে পথে, ধানের শীষ যাবে সে পথে। নৌকা আর ধানের শীষ লাঙ্গল দেখাও শেষ, দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ।",Positive,0.6189323426571106,manual,False
সব জায়গায় একই অবস্থা নির্বাচন বন্ধ করে দেওয়া হোক আমি লীগকে ঘুরিয়ে নিয়ে আনুক তারা বিপক্ষে কোন দলকে সাইট দেয় না হুমকি দিয়ে থাকে প্রতিটা ওয়ার্ড পর্দা থেকে একই অবস্থা,Negative,0.4333127554066169,manual,False
"দল থেকে দেরকে আজীবনের জন্য বহিষ্কার করা হোক,, নয়তো বিএনপি-র ইজ্জত মাঠে থেকে যাবে বাসায় নিয়ে ফিরতে পারবে না",Negative,0.5446264875994645,manual,False
ক্ষমতা আসার আগেই এতো কিছু। ক্ষমতা আসার পর কি হবে একমাত্র আল্লাহ জানে,Sarcastic_negative,0.3350643030866991,manual,False
"দেশের জনগণ এখন সচেতন। জোরজবরদস্তির রাজনীতি এখন আর চলবে না মানুষ আদর্শবান নেতা চায়, যার হাতে নিরাপদ দেশ ও জাতি",Positive,0.8111880696720509,manual,False
এই বক্তব্য জামাতের কেউ দিলে রাকিব চাচা দল বল নিয়ে রাস্তায় নাইমে যাতো,Negative,0.3858436877728405,model_autofill,False
বিএনপি আস্তে আস্তে আসল রূপে ফিরে আসতেছে,Negative,0.3922074327935571,model_autofill,False
"একবারে আওমী সন্ত্রাসীদের হুংকার দিয়ে ভোটারদের জিম্মি করতে চাই,এগুলো কে জনগন আর ভয় করে না।",Positive,0.345299850089309,model_autofill,False
নব্য ফ্যাসিজম,Sarcastic_negative,1.0,manual_second_pass,False
