Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review
আমাদের অফিসিয়াল টেলিগ্রাম চ্যানেল : https://t.me/asiapostupdate,,,,Negative,0.47759466889062147,model_unified_fill,True
ভ্যানওয়ালা তো হিরো হয়ে গেল।,,,,Sarcastic_negative,0.6134114073146445,model_unified_fill,False
বাহ্ ভাই বাহ্,,,,Sarcastic_negative,0.32199404725110226,model_unified_fill,True
"ওই ছাত্ররা যেভাবে ছাত্রীদের জন্য এতো কিছু করছে, জল কমতে কমতে বেশ কিছু শালিক নতুন জোড়া বাঁধতে পারে",,,,Sarcastic_negative,0.603308166775675,model_unified_fill,False
এমন বৃষ্টি বাদলের দিনে মজাই আলাদা ক্লাস করতে ভিজে ভিজে বাড়ি ফিরতে,,,,Negative,0.5861801798437378,model_unified_fill,False
ঢাকা শহর থেকে ভ্যান উঠায় দেওয়া হোক কোনো ভ্যান চলবে না শুধু বাস চলবে,,,,Negative,0.44649288987514146,model_unified_fill,True
গাড়ীর বদলে নৌকা বা লঞ্চ নিয়া চলাচল করলেই তো হয়।,,,,Sarcastic_negative,0.5502960321211149,model_unified_fill,False
লেখাপড়ার জন্য তারা যায়নি গিয়েছে মজা করার জন্য এটাই বর্ষা মৌসুমের কলেজের মজা।,,,,Negative,0.40160436033006386,model_unified_fill,True
কয়েকটা নৌকা দিলেই হয়,,,,Sarcastic_negative,0.5873493798192361,model_unified_fill,False
এরাই আসল শিক্ষার্থী,,,,Sarcastic_negative,0.5354788815269104,model_unified_fill,False
সবকটা নিজেদের গার্লফ্রেন্ডকে উদ্ধার করলো!,,,,Negative,0.31450842665021095,model_unified_fill,True
আলহামদুলিল্লাহ,,,,Positive,0.6722752494029804,model_unified_fill,False
"জলে যানবাহন চলে, আকাশে নৌকা উড়ে",,,,Sarcastic_negative,0.4614475418184037,model_unified_fill,True
এহন করো বৃষ্টি বিলাস,,,,Positive,0.6199485346677193,model_unified_fill,False
জলপরীদের উদ্ধার করা হচ্ছে,,,,Positive,0.4935311540648968,model_unified_fill,True
যারা সাঁতার পারে না তাদের উচিত এই সুযোগে সড়কে সাঁতার কাটা শিখে নেওয়া,,,,Negative,0.7182600796309647,model_unified_fill,False
আমি হলেতো সাঁতার দিতাম,,,,Negative,0.5220497676334992,model_unified_fill,False
একটা ভালো হইছে,,,,Sarcastic_negative,0.38589902740898946,model_unified_fill,True
এখন আর হকার নাই,,,,Positive,0.7283145472268584,model_unified_fill,False
"তারপর ও অফিস + ভার্সিটি,স্কুল কলেজ অফ করবে নাহ",,,,Negative,0.3847146286149223,model_unified_fill,True
এখন কি নৌকাই এক মাত্র সমাধান?,,,,Positive,0.7946750633824679,model_unified_fill,False
ম্যানহোল্ড খুলে দেন বৃষ্টির পানি চলে যাবে,,,,Sarcastic_negative,0.5150216716100845,model_unified_fill,False
ঢাবির পাশ দিয়ে একটা খাল কনন করলেই হই,,,,Sarcastic_negative,0.41171482969444856,model_unified_fill,True
সাতার কেটে ভার্সিটি যাবে,,,,Sarcastic_negative,0.38614304283902207,model_unified_fill,True
১৭ বছর সাঁতার কাটেন নাই এখন সাঁতার কাটেন। দেখেন সাঁতার কাটা কত আনন্দ কক্সবাজারে সাগরের ঢেউ,,,,Sarcastic_negative,0.38734335070201814,model_unified_fill,True
নৌকা ছাড়া উপায় নাই,,,,Sarcastic_negative,0.43370434844913963,model_unified_fill,True
তাজিনুর রহমান তুপার ভ্যান নিয়ে কি আসবো?,,,,Sarcastic_negative,0.35495173013222725,model_unified_fill,True
সমুদ্রের উপর দিয়ে বাস চলাচল করতে গিয়ে আটকে পড়েছে,,,,Sarcastic_negative,0.6924340637110332,model_unified_fill,False
আই হ্যাভ এ প্লেন.... ...উন্নয়ন আর উন্নয়ন জালারে...... জ্বালা অন্তর জ্বালা.....,,,,Sarcastic_negative,0.3164279788118442,model_unified_fill,True
কে বলেছে শুধু গণিত স্যার বৃষ্টি মানেনা ? এদের দেখ,,,,Positive,0.407940057650592,model_unified_fill,True
বৃষ্টির মজাই এটা। আমি তো আমার বাচ্চাকে নিয়ে স্কুল থেকে ফিরার পথে বৃষ্টি পেলে ইচ্ছে করে ভিজি। এই সুযোগ বাচ্চাকে বৃষ্টি ভিজানো,,,,Negative,0.817439202289239,model_unified_fill,False
"এতোদিন যে তোমরা ভ্যানকে খ্যাত আর গাইয়া বলতা,এবার এবার?",,,,Positive,0.4515838683842433,model_unified_fill,True
আহারে তেল অক্সফোর্ডে কেলাস করতেই হইবো তামশা,,,,Sarcastic_negative,0.6745752040801665,model_unified_fill,False
আমার অবুঝ মন জানতে চাচ্ছে,,,,Negative,0.5283443778666881,model_unified_fill,False
রিকশা ভাড়া কত..?,,,,Negative,0.44728234320791194,model_unified_fill,True
Purnota Nandy এই জন্যে বাস সার্ভিস বন্ধ ছিল,,,,Negative,0.571082480268371,model_unified_fill,False
বিরল প্রজাতির বাস মনে হচ্ছে!,,,,Sarcastic_negative,0.4689897078200866,model_unified_fill,True
আবিদ কে বললেই তো হতো,,,,Negative,0.478265428373534,model_unified_fill,True
নিজের ভার্সিডির নিউজ। নিজেই হাহা দিলাম,,,,Negative,0.449993642471214,model_unified_fill,True
"এরকম প্রধানমন্ত্রী কোন দেশে আছে, কক্সবাজার দেখার সখ তিনি পুরণ করছেন",,,,Positive,0.48840024536685966,model_unified_fill,True
সাতার দিতাম,,,,Sarcastic_negative,0.42263276737014255,model_unified_fill,True
"পড়াশোনার প্রতি এত আগ্রহ, সত্যিই প্রশংসার দাবি রাখে।",,,,Negative,0.38569221837709755,model_unified_fill,True
মনা চল সাতার কাটি,,,,Sarcastic_negative,0.5705065267992764,model_unified_fill,False
বড় ট্রাক দিয়ে গাড়িটি টেনে নেয়া যেতো।,,,,Sarcastic_negative,0.32530081134154176,model_unified_fill,True
খাল খনন করা হবে,,,,Neutral,0.9647160094359745,model_unified_fill,False
Alifa Hoque Tumio Chila naki oi bus a?,,,,Neutral,0.4085247386347366,model_unified_fill,True
Tabassum Nawsheen ei adventure ki tmio korso?,,,,Sarcastic_negative,0.5513897273753385,model_unified_fill,False
Khamba have a plan no worries,,,,Neutral,0.4020117687747284,model_unified_fill,True
খাল গুলো ভরাট করলে তো বন্যা দেখা দেবেই।,,,,Negative,0.373745113191005,model_unified_fill,True
কি দরকার ছিল বৃষ্টির মধ্যে ক্লাসে জাওয়ার জন্য।,,,,Negative,0.3668352316787997,model_unified_fill,True
এই ভ্যানওয়ালার সাথে প্রেম হয়ে যাবে অনেকের!,,,,Negative,0.6672739988792101,model_unified_fill,False
"বাবুরে এই অবস্থায় ক্লাস করার দরকার কি ছিলো, মেধাবী শিক্ষার্থীরা",,,,Negative,0.470527487976853,model_unified_fill,True
Prince Nahid Naval elakai thakis to,,,,Neutral,0.4659706609191444,model_unified_fill,True
একটু ভাবুন...,,,,Sarcastic_negative,0.44147695428379147,model_unified_fill,True
Nilkhet ta dekhaiten Cox’s 2.0,,,,Sarcastic_negative,0.6070744765170988,model_unified_fill,False
"​বন্যা: এক বুক জল, আর এক নদী চোখের জল...",,,,Positive,0.5329095338887785,model_unified_fill,False
"যত কষ্টই হোক, ভার্সিটি যেতেই হবে",,,,Neutral,0.9363839723864364,model_unified_fill,False
২০০৪ সালের বন‍্যায় এইভাবেই ইউনিভার্সিটিতে যেতাম।,,,,Sarcastic_negative,0.5281602477746584,model_unified_fill,False
কি খুশি আকাশে বাতাসে,,,,Sarcastic_negative,0.3969210085796856,model_unified_fill,True
বিপদে পড়লে ভ্যান রিকশার প্রয়োজন হয়,,,,Sarcastic_negative,0.5262249284475697,model_unified_fill,False
আহা কত সুন্দর,,,,Sarcastic_negative,0.4432828780019425,model_unified_fill,True
"Du lal bus na Shai shai kore bole, ekhon cholte pare na",,,,Sarcastic_negative,0.581305900939616,model_unified_fill,False
"Ayhay, ভাগ্যিস ক্লাসে যাইনি ! নয়তো ভেসে যেতুম !!",,,,Sarcastic_negative,0.4774886012480671,model_unified_fill,True
"আজ পূর্ণতা পাইল, সখিগো আমি প্রেমের ঘাটের মাঝি তোমার বেলায় চান্দা নিব না",,,,Negative,0.5998711666671919,model_unified_fill,False
Ami rickshaw te boshe speedboat er vibe paisi,,,,Sarcastic_negative,0.6803748965335396,model_unified_fill,False
"সেই সুযোগ ভ্যানওয়ালা শিক্ষার্থী ভাইয়ের,",,,,Negative,0.44578985965471213,model_unified_fill,True
আজ Varsity গেলে গোসল করে আসতে হইতো। ভাগ্য ভালো ক্লাস cancel করছিলো,,,,Positive,0.34780014850040214,model_unified_fill,True
রাষ্ট্রের সংস্কার আর মেরামতের কাজ অনেক ভালো হয়েছে,,,,Positive,0.6885877083224751,model_unified_fill,False
সেইরকম অভিজ্ঞতা,,,,Sarcastic_negative,0.42272877852016527,model_unified_fill,True
"হই হই রই রই, এত উন্নয়ন গেল কই!",,,,Sarcastic_negative,0.5436208024017166,model_unified_fill,False
এমন বৃষ্টির দিনেই শহরবাসী বুঝতে পারে প্রধান সড়কে রিকশা বা ভ্যানের প্রয়োজনীয়তা,,,,Sarcastic_negative,0.4055600398691969,model_unified_fill,True
ভুরি গঙার বাস,,,,Negative,0.4766031519751472,model_unified_fill,True
Van jaite pare bus jaite parena,,,,Sarcastic_negative,0.5007969068616797,model_unified_fill,False
Ho jaiya van chalai ga taile onk income hbe,,,,Sarcastic_negative,0.5470041232163972,model_unified_fill,False
ঢাটিশ বিটিগের গায় ঘুর পানি লাগতিছে,,,,Sarcastic_negative,0.519766018794127,model_unified_fill,False
Noel Apu Biswas কি করলি জীবনে??,,,,Sarcastic_negative,0.644708074397913,model_unified_fill,False
উন্নয়নের জোয়ারে ভাসতেছে ভাংগাদেশ,,,,Sarcastic_negative,0.3002439647125722,model_unified_fill,True
কি সুন্দর,,,,Sarcastic_negative,0.48984989686956293,model_unified_fill,True
এই সিন গুলো কোন এলিমের কথা মনে করিয়ে দেই,,,,Negative,0.42534751473442683,model_unified_fill,True
দুইদিন পরে নিউজ এসে বলবে বর্ষার পানিতে ভ্যানে করে হলে পৌছে দেওয়া থেকে আজ বিয়ের পিড়িতে,,,,Negative,0.4447335798805369,model_unified_fill,True
আর গ্রামের মানুষরে কয় ক্ষেত,,,,Positive,0.4921368198421527,model_unified_fill,True
পড়াশোনা করার স্টুডেন্ট,,,,Negative,0.3554426853755152,model_unified_fill,True
পানির মধ্যে সাতার দিতে দিতে চলে গেছে,,,,Sarcastic_negative,0.48799420467738425,model_unified_fill,True
Amn dine class korte hobe kno,,,,Sarcastic_negative,0.5403901878171862,model_unified_fill,False
অপরিকল্পিত নগরায়নের ফলাফল…,,,,Sarcastic_negative,0.3660142996733458,model_unified_fill,True
নিউ বাংলাদেশ,,,,Positive,0.7205817182767483,model_unified_fill,False
এখন থেকে রাস্তায় চলবে নৌকা,,,,Positive,0.6569720284632026,model_unified_fill,False
আর পানিতে চলবে ঘাড়ি,,,,Positive,0.6822702531964295,model_unified_fill,False
ওরে বিশ্ববিদ্যালয়ে কত্ত যে মজার ক্লাস হয় তারজন্য ভ্যানে করে সেথায় পৌঁছাতে হবে।,,,,Neutral,0.5338207448510588,model_unified_fill,False
নৌকার দরকার,,,,Negative,0.33061830877014525,model_unified_fill,True
এখন বুঝবা নৌকার কি প্রয়োজন ছিলো,,,,Positive,0.6032620704281648,model_unified_fill,False
ঢাকা বিশ্ববিদ্যালয় ভিপিকে স্যালুট শিবির মানেই সমাধান,,,,Negative,0.3223523921809532,model_unified_fill,True
Anik Debnath vai help koro meye der,,,,Sarcastic_negative,0.7256309807108393,model_unified_fill,False
Troler abong nowka nia jaite hobe,,,,Sarcastic_negative,0.5166335161755242,model_unified_fill,False
এগুলো শিক্ষামন্ত্রীর চোখ কি দেখেনা,,,,Positive,0.3841087663393651,model_unified_fill,True
